Nombre,Tipo,Lugar,Fecha
XXIX Campionato de Galicia de Medio Maratón,Ruta,Ortigueira - Cariño,25/05/2019
IX Circuíto Correndo x Ourense – Carreira de O Couto,Ruta,Ver competiciones relacionadas,25/05/2019
VI Carreira Popular Concello de San Sadurniño,Ruta,San Sadurniño,26/05/2019
Xogade – Atletismo Pista – Campionato Provincial A Coruña – INF – Combinadas BEN – ALE 2018/2019,Pista AL,A Coruña,26/05/2019
Campionato de España de Clubs 2018/2019 – División de Honor – 2ª Xornada,Pista AL,Ver competiciones relacionadas,01/06/2019
Campionato de España de Clubs 2018/2019 – Primeira División – 2ª Xornada,Pista AL,Ver competiciones relacionadas,01/06/2019
Campionato de España Sub14 Individual 2018/2019,Pista AL,,01/06/2019
XIII Campionato de Galicia Sub10 – Sub12 – Sub14 en Pista ao Aire Libre,Pista AL,Lugo,01/06/2019
VI Carreira Pedestre Concello de Zas,Ruta,Zas,01/06/2019
VI Carreira Pedestre Concello de Zas,Ruta,Zas,01/06/2019
Xogade – Atletismo Pista – Campionato Provincial Pontevedra – BEN – Combinadas ALE 2018/2019,Pista AL,Pontevedra,02/06/2019
XLIV Trofeo Sociedad Gimnástica de Pontevedra,Pista AL,Pontevedra,05/06/2019
XXXIII Gran Premio Internacional de Marcha Cantones de A Coruña – Trofeo Sergio Vázquez,Marcha,"Coruña, A",08/06/2019
V Campionato de España de Federacións Autonómicas Sub18,Pista AL,Xetafe,08/06/2019
IV Trofeo de Atletismo Barbanza – Concello de A Pobra do Caramiñal,Pista AL,"Pobra do Caramiñal, A",08/06/2019
XLII Memorial Gregorio Pérez Rivera,Pista AL,Lugo,08/06/2019
Xogade – Atletismo Pista – Campionato Provincial Pontevedra – ALE – Combinadas INF 2018/2019,Pista AL,Pontevedra,08/06/2019
XXXVI Copa Deputación Ourense Atletismo – 3ª Xornada,Pista AL,Ver competiciones relacionadas,08/06/2019
IV Milla Día do Deporte Solidario,Ruta,Santiago de Compostela,08/06/2019
XXXII Campionato de Galicia Máster en Pista ao Aire Libre,Pista AL,,09/06/2019
XIII Campionato de Galicia de Montaña,Montaña,Esgos,09/06/2019
III Carreira Popular Praia de Miño,Ruta,Miño,09/06/2019
Campionato de España de Clubs 2018/2019 – División de Honor – Final,Pista AL,Ver competiciones relacionadas,15/06/2019
Campionato de España de Clubs 2018/2019 – Primeira División – Final,Pista AL,Ver competiciones relacionadas,15/06/2019
Campionato de España de Federacións Autonómicas Sub16 en Idade Escolar 2018/2019,Pista AL,Madrid,15/06/2019
VI Campionato de España Sub14 por Equipos,Pista AL,Cidade Real,15/06/2019
IV Circuíto de Pista Concello de Vigo – 3ª Xornada Series Municipais,Pista AL,Ver competiciones relacionadas,15/06/2019
II Copa de Clubs Máster,Pista AL,,15/06/2019
Campionato de España de Clubs 2018/2019 – Segunda División – Fase Final,Pista AL,,16/06/2019
IX 10 Km. Carballo,Ruta,Carballo,16/06/2019
LXVIII Campionato de España Sub18,Pista AL,Castellón,22/06/2019
Campionato de Galicia Sub 20 – Sub23 en Pista ao Aire Libre 2018/2019,Pista AL,,22/06/2019
VI Carreira Pedestre Concello de Cee,Ruta,Cee,22/06/2019
XXXVI Copa Deputación Ourense Atletismo – 4ª Xornada,Pista AL,Ver competiciones relacionadas,22/06/2019
Campionato de España de Clubs Sub18 – Relevo 4×100 m. 2018/2019,Pista AL,Castellón,23/06/2019
II Xogos Europeos,Pista AL,Minsk - Bielorrusia,23/06/2019
III Ourense Milla Solidaria,Ruta,Ourense,23/06/2019
LIV Campionato de España Máster,Pista AL,Sagunto,28/06/2019
XXXIV Campionato de España Sub23,Ruta,,29/06/2019
Campionato de España de Clubs Sub23 – Relevo 4×100 m. 2018/2019,Pista AL,,30/06/2019
XXIV Carreira Popular Concello de Ordes,Ruta,Ordes,30/06/2019
IX Circuíto Correndo x Ourense – Carreira do Centro,Ruta,Ver competiciones relacionadas,30/06/2019
XXIII Copa de Europa de 10.000 m.,Pista AL,Londres - Gran Bretaña,06/07/2019
XXXIV Campionato de Europa de Seleccións de Probas Combinadas,Pista AL,Lutsk - Ucrania,06/07/2019
LXVI Campionato de España Sub20 – Clubs Relevo 4×100 m.,Pista AL,Granollers,06/07/2019
XVIII Campionato de España Sub16 – Clubs Relevo 4×100 m.,Pista AL,Xixón,06/07/2019
XVII Campionato de Europa de Carreira por Montaña,Montaña,Zermatt - Suiza,07/07/2019
XXV Trofeo Cidade de Pontevedra – XXIII Memorial Celso Mariño,Pista AL,Pontevedra,10/07/2019
XII Campionato de Europa Sub23,Pista AL,Gävle - Suecia,11/07/2019
Campionato de España de Clubs Máster 2018/2019 – Primeira División,Pista AL,,13/07/2019
XIII Trofeo Alfonso Posada,Pista AL,Vigo,13/07/2019
X Carreira Popular Pedestre Tordoia in Essence,Ruta,Tordoia,13/07/2019
Campionato de España de Clubs Máster 2018/2019 – Segunda División,Pista AL,,14/07/2019
VI Carreira Pedestre Concello de Muxía,Ruta,Muxía,14/07/2019
XXV Campionato de Europa Sub20,Pista AL,Boras - Suecia,18/07/2019
IV Carreira Popular do Apóstolo,Ruta,"Laracha, A",20/07/2019
XV Festival Olímpico da Xuventude Europea,Pista AL,Bakú - Azerbaiyán,20/07/2019
LXXXVI Campionato de Galicia Absoluto Masculino – LII Campionato de Galicia Absoluto Feminino en Pista ao Aire Libre,Pista AL,,20/07/2019
XLIV Campionato de España de Federacións Autonómicas,Pista AL,Pamplona,27/07/2019
IX Campionato de Europa por Federacións,Pista AL,Bydgoscz - Polonia,09/08/2019
XXVIII Carreira Pedestre da Areas Concello de Carnota,Ruta,Carnota,18/08/2019
VIII Carreira Nocturna Corre por Ferrol,Ruta,Ferrol,24/08/2019
XI Campionato de Galicia de 1 Km. en Ruta,Ruta,Guntín,24/08/2019
XCIX Campionato de España Absoluto,Pista AL,A Nucía,31/08/2019
XVIII Carreira Vila de Corcubión,Ruta,Corcubión,31/08/2019
XXI Campionato de Europa Máster,Pista AL,Jessolo - Italia,05/09/2019
